id,subpanel_id,breaker_number,phases,max_amps
1,1,1,AB,32.0
2,1,2,AB,32.0
5,1,5,CA,32.0
6,1,6,CA,32.0
9,1,9,BC,32.0
10,1,10,BC,32.0
13,1,13,AB,32.0
14,1,14,AB,32.0
17,1,17,CA,32.0
18,1,18,CA,32.0
21,1,21,BC,32.0
25,1,25,AB,32.0
26,2,1,AB,32.0
27,2,2,AB,32.0
28,2,5,CA,32.0
29,2,6,CA,32.0
30,2,9,BC,32.0
31,2,10,BC,32.0
32,2,13,AB,32.0
33,3,1,AB,32.0
34,3,2,AB,32.0
35,3,5,CA,32.0
36,3,6,CA,32.0
37,3,9,BC,32.0
38,3,10,BC,32.0
39,3,13,AB,32.0
40,3,14,AB,32.0
41,3,17,CA,32.0
42,3,18,CA,32.0
43,4,1,AB,32.0
44,4,2,AB,32.0
45,4,3,AB,32.0
46,5,1,AB,32.0
47,6,1,AB,32.0
48,6,6,CA,32.0
49,6,9,BC,32.0
50,6,10,BC,32.0
51,6,13,AB,32.0
52,7,1,AB,32.0
53,7,5,CA,32.0
54,7,6,CA,32.0
55,7,9,BC,32.0
56,7,14,AB,32.0
57,7,17,CA,32.0
58,8,2,AB,32.0
59,8,5,CA,32.0
60,8,6,CA,32.0
61,8,9,BC,32.0
62,8,13,AB,32.0
63,8,14,AB,32.0
64,8,17,CA,32.0
65,8,18,CA,32.0
67,10,2,AB,32.0
68,10,5,CA,32.0
69,10,6,CA,32.0
70,10,9,BC,32.0
71,10,13,AB,32.0
72,10,18,CA,32.0
73,10,25,AB,32.0
74,10,26,AB,32.0
75,10,29,CA,32.0
76,10,30,CA,32.0
77,10,33,BC,32.0
78,10,34,BC,32.0
79,10,37,AB,32.0
80,11,1,AB,32.0
81,11,2,AB,32.0
82,11,5,AB,32.0
83,11,6,AB,32.0
84,11,9,AB,32.0
85,12,1,AB,32.0
86,13,11,AB,50.0
87,13,15,AB,50.0
88,13,16,AB,32.0
89,14,13,AB,50.0
91,15,4,AB,30.0
92,16,1,AB,32.0
93,17,19,AB,32.0
94,17,20,AB,32.0
95,17,23,CA,32.0
96,17,24,CA,32.0
97,17,28,BC,32.0
98,21,40,AB,32.0
99,21,28,AB,32.0
100,21,39,AB,32.0
101,21,35,AB,32.0
102,21,31,AB,32.0
103,22,40,AB,32.0
104,22,39,AB,32.0
105,22,35,AB,32.0
106,23,35,AB,32.0
107,24,40,AB,32.0
108,24,36,AB,32.0
109,25,40,AB,32.0
110,25,36,AB,32.0
111,25,32,AB,32.0
112,25,39,AB,32.0
113,25,31,AB,32.0
114,26,30,AB,32.0
115,26,29,AB,32.0
116,26,26,AB,32.0
118,5,2,AB,20.0
120,38,1,AB,32.0
121,38,5,CA,32.0
122,38,6,CA,32.0
123,38,9,BC,32.0
124,38,10,BC,32.0
125,38,13,AB,32.0
126,38,14,AB,32.0
127,38,17,CA,32.0
128,38,21,BC,32.0
129,38,22,BC,32.0
130,38,25,AB,32.0
131,38,26,AB,32.0
132,40,1,AB,32.0
133,40,2,AB,32.0
134,40,6,CA,32.0
135,40,9,BC,32.0
136,40,10,BC,32.0
138,40,13,AB,32.0
139,40,14,AB,32.0
140,40,17,CA,32.0
141,40,18,CA,32.0
143,23,36,AB,32.0
144,43,6,AB,32.0
145,43,5,AB,32.0
146,44,10,AB,32.0
148,46,1,AB,32.0
149,47,2,AB,100.0
150,8,22,BC,32.0
151,8,1,AB,32.0
152,8,10,BC,32.0
153,48,1,AB,32.0
154,48,5,CA,32.0
155,48,6,CA,32.0
156,48,10,BC,32.0
157,48,18,CA,32.0
158,48,25,AB,32.0
159,48,26,AB,32.0
160,48,29,CA,32.0
161,48,2,AB,32.0
162,48,17,CA,32.0
164,50,1,AB,30.0
165,51,1,AB,32.0
166,52,1,AB,30.0
167,53,1,AB,30.0
168,54,1,AB,30.0
169,55,1,AB,30.0
171,57,1,AB,30.0
172,58,1,AB,30.0
173,59,1,AB,50.0
175,47,31,AB,50.0
176,47,35,CA,50.0
177,47,39,BC,50.0
183,64,101,AB,50.0
184,64,102,AB,32.0
185,65,101,AB,32.0
186,65,102,AB,32.0
197,71,101,AB,32.0
198,71,102,AB,0.0
199,72,101,AB,32.0
200,72,102,AB,32.0
205,75,101,AB,32.0
206,75,102,AB,32.0
239,92,101,AB,30.0
240,92,102,AB,32.0
403,174,1,AB,32.0
404,174,9,BC,32.0
405,174,25,AB,32.0
406,174,37,AB,32.0
407,174,14,AB,32.0
408,174,18,CA,32.0
409,174,30,CA,32.0
410,174,34,BC,32.0
411,174,38,AB,32.0
414,176,1,AB,100.0
415,177,38,AB,32.0
431,189,1,AB,32.0
433,191,1,AB,32.0
434,192,101,AB,40.0
435,193,101,AB,30.0
